ARREST,N,N,Y,Y
DOMESTIC,N,Y,N,Y
PRIMARY DESCRIPTION,,,,
ARSON,350,8,27,5
ASSAULT,9356,3281,3455,987
BATTERY,19140,18047,6397,5937
BURGLARY,13551,92,707,16
CONCEALED CARRY LICENSE VIOLATION,9,0,7,0
CRIM SEXUAL ASSAULT,975,136,85,29
CRIMINAL DAMAGE,23432,2418,1611,445
CRIMINAL TRESPASS,1908,164,5292,121
DECEPTIVE PRACTICE,12247,118,1473,5
GAMBLING,1,0,397,0
HOMICIDE,282,10,110,22
HUMAN TRAFFICKING,2,0,0,0
INTERFERENCE WITH PUBLIC OFFICER,73,1,1348,4
INTIMIDATION,80,7,25,0
KIDNAPPING,155,43,15,2
LIQUOR LAW VIOLATION,7,0,374,2
MOTOR VEHICLE THEFT,9158,71,694,13
NARCOTICS,102,0,27635,13
NON - CRIMINAL,11,0,0,0
NON-CRIMINAL,18,0,0,0
NON-CRIMINAL (SUBJECT SPECIFIED),0,1,0,0
OBSCENITY,6,2,23,1
OFFENSE INVOLVING CHILDREN,868,959,172,179
OTHER NARCOTIC VIOLATION,2,0,8,0
OTHER OFFENSE,8471,4162,3445,657
PROSTITUTION,13,0,1717,0
PUBLIC INDECENCY,0,0,11,0
PUBLIC PEACE VIOLATION,510,48,2324,27
ROBBERY,8694,141,909,30
SEX OFFENSE,584,60,191,14
STALKING,64,52,17,9
THEFT,51746,1752,7112,129
WEAPONS VIOLATION,529,1,2617,9
